trial,l1,bg1,l2,bg2
0,0.1,0.0,0.329,0.0
1,0.9,1.0,0.214,1.0
2,0.786,1.0,0.1,1.0
3,0.557,0.0,0.786,0.0
4,0.557,1.0,0.214,0.0
5,0.557,1.0,0.671,0.0
6,0.214,0.0,0.329,1.0
7,0.9,0.0,0.9,1.0
8,0.9,1.0,0.557,0.0
9,0.9,0.0,0.443,1.0
10,0.1,1.0,0.329,1.0
11,0.557,1.0,0.671,1.0
12,0.557,1.0,0.1,0.0
13,0.443,1.0,0.329,1.0
14,0.1,1.0,0.9,1.0
15,0.9,0.0,0.671,0.0
16,0.9,1.0,0.786,1.0
17,0.214,1.0,0.557,0.0
18,0.443,0.0,0.214,1.0
19,0.329,1.0,0.9,0.0
20,0.1,0.0,0.786,1.0
21,0.9,0.0,0.214,0.0
22,0.214,1.0,0.557,1.0
23,0.9,0.0,0.214,1.0
24,0.9,0.0,0.671,1.0
25,0.671,1.0,0.9,1.0
26,0.214,0.0,0.214,1.0
27,0.329,1.0,0.786,1.0
28,0.671,0.0,0.786,1.0
29,0.443,0.0,0.9,1.0
30,0.671,0.0,0.443,1.0
31,0.786,0.0,0.9,1.0
32,0.557,1.0,0.443,0.0
33,0.1,1.0,0.443,1.0
34,0.443,1.0,0.443,0.0
35,0.329,0.0,0.9,1.0
36,0.786,0.0,0.9,0.0
37,0.557,0.0,0.214,0.0
38,0.671,1.0,0.443,1.0
39,0.671,0.0,0.671,1.0
40,0.671,1.0,0.214,0.0
41,0.443,1.0,0.9,1.0
42,0.9,0.0,0.443,0.0
43,0.786,1.0,0.443,0.0
44,0.786,0.0,0.671,0.0
45,0.9,0.0,0.1,1.0
46,0.329,1.0,0.329,0.0
47,0.557,0.0,0.9,0.0
48,0.557,0.0,0.1,1.0
49,0.671,0.0,0.214,1.0
50,0.786,0.0,0.329,0.0
51,0.443,1.0,0.1,0.0
52,0.786,1.0,0.557,1.0
53,0.9,0.0,0.1,0.0
54,0.786,1.0,0.9,0.0
55,0.1,0.0,0.9,1.0
56,0.557,1.0,0.443,1.0
57,0.443,0.0,0.329,0.0
58,0.214,1.0,0.786,1.0
59,0.214,0.0,0.1,0.0
60,0.786,1.0,0.443,1.0
61,0.214,0.0,0.9,1.0
62,0.329,1.0,0.557,1.0
63,0.329,0.0,0.214,1.0
64,0.557,0.0,0.786,1.0
65,0.671,0.0,0.557,0.0
66,0.1,0.0,0.557,0.0
67,0.1,0.0,0.329,1.0
68,0.443,0.0,0.1,1.0
69,0.671,1.0,0.214,1.0
70,0.329,1.0,0.9,1.0
71,0.671,1.0,0.443,0.0
72,0.214,0.0,0.786,1.0
73,0.214,1.0,0.1,1.0
74,0.443,1.0,0.329,0.0
75,0.1,1.0,0.1,0.0
76,0.786,0.0,0.557,1.0
77,0.671,0.0,0.329,1.0
78,0.329,0.0,0.786,1.0
79,0.1,0.0,0.214,1.0
80,0.671,1.0,0.329,1.0
81,0.786,0.0,0.671,1.0
82,0.329,1.0,0.443,0.0
83,0.557,1.0,0.329,0.0
84,0.786,0.0,0.786,1.0
85,0.786,0.0,0.329,1.0
86,0.557,0.0,0.443,0.0
87,0.557,1.0,0.9,0.0
88,0.1,1.0,0.329,0.0
89,0.1,1.0,0.671,0.0
90,0.329,0.0,0.671,1.0
91,0.1,0.0,0.671,0.0
92,0.329,0.0,0.9,0.0
93,0.786,0.0,0.214,1.0
94,0.786,0.0,0.214,0.0
95,0.1,1.0,0.214,0.0
96,0.786,0.0,0.443,1.0
97,0.671,1.0,0.557,0.0
98,0.443,1.0,0.214,0.0
99,0.443,0.0,0.786,0.0
100,0.214,1.0,0.329,1.0
101,0.329,0.0,0.671,0.0
102,0.671,0.0,0.443,0.0
103,0.443,1.0,0.557,0.0
104,0.9,1.0,0.557,1.0
105,0.557,1.0,0.1,1.0
106,0.214,0.0,0.443,0.0
107,0.786,0.0,0.1,0.0
108,0.329,1.0,0.557,0.0
109,0.557,0.0,0.329,0.0
110,0.214,0.0,0.671,0.0
111,0.1,0.0,0.671,1.0
112,0.9,1.0,0.671,0.0
113,0.443,1.0,0.214,1.0
114,0.329,0.0,0.214,0.0
115,0.557,1.0,0.557,0.0
116,0.671,1.0,0.786,1.0
117,0.671,1.0,0.1,1.0
118,0.1,1.0,0.786,0.0
119,0.443,0.0,0.1,0.0
