trial,stim,intensity_target_left,intensity_target_right,intensity_context_left,intensity_context_right
137,bullseye,0.544,0.278,1.0,1.0
138,bullseye,0.9,0.633,1.0,1.0
139,bullseye,0.456,0.544,0.0,0.0
140,bullseye,0.456,0.278,0.0,0.0
141,bullseye,0.367,0.544,1.0,1.0
142,bullseye,0.811,0.367,1.0,0.0
143,bullseye,0.278,0.811,0.0,0.0
144,bullseye,0.544,0.811,0.0,0.0
145,bullseye,0.722,0.278,1.0,1.0
146,bullseye,0.367,0.367,0.0,1.0
147,bullseye,0.633,0.367,1.0,1.0
148,bullseye,0.811,0.811,0.0,1.0
149,bullseye,0.544,0.544,0.0,1.0
150,bullseye,0.278,0.811,1.0,1.0
151,bullseye,0.367,0.1,1.0,1.0
152,bullseye,0.544,0.456,1.0,1.0
153,bullseye,0.633,0.811,0.0,0.0
154,bullseye,0.722,0.189,1.0,0.0
155,bullseye,0.811,0.633,1.0,0.0
156,bullseye,0.278,0.9,0.0,1.0
157,bullseye,0.9,0.1,0.0,1.0
158,bullseye,0.544,0.722,0.0,0.0
159,bullseye,0.278,0.189,1.0,1.0
160,bullseye,0.278,0.189,0.0,0.0
161,bullseye,0.722,0.9,1.0,0.0
162,bullseye,0.633,0.189,1.0,1.0
163,bullseye,0.633,0.1,1.0,0.0
164,bullseye,0.1,0.278,1.0,0.0
165,bullseye,0.189,0.367,0.0,0.0
166,bullseye,0.9,0.722,0.0,0.0
167,bullseye,0.722,0.189,0.0,0.0
168,bullseye,0.633,0.633,0.0,1.0
169,bullseye,0.456,0.367,1.0,0.0
170,bullseye,0.456,0.367,1.0,1.0
171,bullseye,0.456,0.456,0.0,1.0
172,bullseye,0.278,0.633,0.0,1.0
173,bullseye,0.456,0.9,0.0,1.0
174,bullseye,0.1,0.9,0.0,0.0
175,bullseye,0.633,0.722,1.0,1.0
176,bullseye,0.722,0.633,0.0,0.0
177,bullseye,0.633,0.722,0.0,1.0
178,bullseye,0.9,0.189,0.0,1.0
179,bullseye,0.456,0.9,0.0,0.0
180,bullseye,0.189,0.189,0.0,1.0
181,bullseye,0.456,0.189,1.0,0.0
182,bullseye,0.367,0.544,0.0,0.0
183,bullseye,0.189,0.456,1.0,1.0
184,bullseye,0.544,0.189,1.0,0.0
185,bullseye,0.456,0.367,0.0,0.0
186,bullseye,0.278,0.456,0.0,1.0
187,bullseye,0.456,0.811,0.0,1.0
188,bullseye,0.811,0.544,0.0,1.0
189,bullseye,0.633,0.189,1.0,0.0
