trial,stim,intensity_target_left,intensity_target_right,intensity_context_left,intensity_context_right
0,bullseye,0.329,0.214,1.0,1.0
1,bullseye,0.9,0.329,1.0,0.0
2,bullseye,0.1,0.9,1.0,0.0
3,bullseye,0.443,0.443,0.0,0.0
4,bullseye,0.786,0.671,1.0,1.0
5,bullseye,0.443,0.1,1.0,1.0
6,bullseye,0.443,0.557,1.0,0.0
7,bullseye,0.443,0.557,1.0,1.0
8,bullseye,0.443,0.214,1.0,1.0
9,bullseye,0.329,0.786,0.0,0.0
10,bullseye,0.9,0.557,1.0,0.0
11,bullseye,0.786,0.329,0.0,0.0
12,bullseye,0.671,0.443,0.0,0.0
13,bullseye,0.557,0.9,0.0,1.0
14,bullseye,0.671,0.671,0.0,1.0
15,bullseye,0.9,0.671,0.0,0.0
16,bullseye,0.671,0.9,0.0,0.0
17,bullseye,0.1,0.557,0.0,0.0
18,bullseye,0.214,0.671,0.0,0.0
19,bullseye,0.443,0.671,0.0,1.0
20,bullseye,0.1,0.214,1.0,0.0
21,bullseye,0.671,0.443,1.0,1.0
22,bullseye,0.786,0.443,1.0,1.0
23,bullseye,0.557,0.1,1.0,0.0
24,bullseye,0.671,0.1,0.0,0.0
25,bullseye,0.786,0.214,1.0,0.0
26,bullseye,0.329,0.329,1.0,0.0
27,bullseye,0.786,0.1,0.0,0.0
28,bullseye,0.671,0.557,1.0,0.0
29,bullseye,0.9,0.786,0.0,1.0
30,bullseye,0.557,0.786,0.0,0.0
31,bullseye,0.329,0.214,1.0,0.0
32,bullseye,0.1,0.9,0.0,1.0
33,bullseye,0.786,0.1,1.0,1.0
34,bullseye,0.329,0.443,1.0,1.0
35,bullseye,0.443,0.786,0.0,0.0
36,bullseye,0.1,0.671,1.0,1.0
37,bullseye,0.214,0.329,1.0,0.0
38,bullseye,0.1,0.557,0.0,1.0
39,bullseye,0.443,0.329,1.0,0.0
40,bullseye,0.557,0.786,0.0,1.0
41,bullseye,0.671,0.557,1.0,1.0
42,bullseye,0.9,0.557,0.0,0.0
43,bullseye,0.671,0.443,1.0,0.0
44,bullseye,0.329,0.214,0.0,1.0
45,bullseye,0.214,0.443,1.0,0.0
46,bullseye,0.443,0.329,1.0,1.0
47,bullseye,0.9,0.9,0.0,1.0
48,bullseye,0.214,0.1,0.0,1.0
49,bullseye,0.329,0.671,1.0,0.0
50,bullseye,0.557,0.557,1.0,1.0
51,bullseye,0.443,0.443,1.0,0.0
52,bullseye,0.557,0.443,1.0,0.0
53,bullseye,0.1,0.329,1.0,0.0
54,bullseye,0.1,0.329,0.0,1.0
55,bullseye,0.557,0.329,1.0,1.0
56,bullseye,0.443,0.1,0.0,1.0
57,bullseye,0.786,0.671,1.0,0.0
58,bullseye,0.329,0.786,1.0,0.0
59,bullseye,0.214,0.214,1.0,1.0
60,bullseye,0.1,0.214,0.0,0.0
61,bullseye,0.9,0.9,1.0,0.0
62,bullseye,0.1,0.329,0.0,0.0
63,bullseye,0.1,0.557,1.0,0.0
64,bullseye,0.214,0.557,0.0,0.0
65,bullseye,0.329,0.1,1.0,0.0
66,bullseye,0.557,0.443,0.0,1.0
67,bullseye,0.557,0.671,1.0,1.0
68,bullseye,0.557,0.786,1.0,0.0
69,bullseye,0.329,0.9,1.0,0.0
70,bullseye,0.443,0.1,0.0,0.0
71,bullseye,0.1,0.443,1.0,1.0
72,bullseye,0.443,0.1,1.0,0.0
73,bullseye,0.557,0.671,1.0,0.0
74,bullseye,0.557,0.671,0.0,1.0
75,bullseye,0.214,0.9,0.0,0.0
76,bullseye,0.671,0.214,1.0,1.0
77,bullseye,0.443,0.786,1.0,0.0
78,bullseye,0.1,0.9,0.0,0.0
79,bullseye,0.1,0.9,1.0,1.0
80,bullseye,0.443,0.786,0.0,1.0
81,bullseye,0.1,0.1,1.0,1.0
82,bullseye,0.443,0.671,0.0,0.0
83,bullseye,0.214,0.214,0.0,0.0
84,bullseye,0.329,0.443,1.0,0.0
85,bullseye,0.1,0.443,0.0,1.0
86,bullseye,0.1,0.786,0.0,1.0
87,bullseye,0.786,0.786,1.0,0.0
88,bullseye,0.214,0.1,0.0,0.0
89,bullseye,0.671,0.1,1.0,1.0
90,bullseye,0.214,0.329,0.0,1.0
91,bullseye,0.9,0.557,0.0,1.0
92,bullseye,0.9,0.9,0.0,0.0
93,bullseye,0.786,0.9,1.0,1.0
94,bullseye,0.1,0.214,1.0,1.0
95,bullseye,0.443,0.214,0.0,0.0
96,bullseye,0.786,0.443,1.0,0.0
97,bullseye,0.786,0.557,0.0,0.0
98,bullseye,0.214,0.329,0.0,0.0
99,bullseye,0.786,0.557,1.0,0.0
100,bullseye,0.557,0.9,1.0,1.0
101,bullseye,0.557,0.1,1.0,1.0
102,bullseye,0.557,0.329,0.0,1.0
103,bullseye,0.786,0.1,1.0,0.0
104,bullseye,0.557,0.214,0.0,1.0
105,bullseye,0.671,0.329,1.0,0.0
106,bullseye,0.214,0.443,0.0,1.0
107,bullseye,0.443,0.214,0.0,1.0
108,bullseye,0.1,0.557,1.0,1.0
109,bullseye,0.671,0.786,1.0,1.0
110,bullseye,0.214,0.329,1.0,1.0
111,bullseye,0.214,0.786,1.0,0.0
112,bullseye,0.671,0.786,1.0,0.0
113,bullseye,0.214,0.214,1.0,0.0
114,bullseye,0.443,0.557,0.0,0.0
115,bullseye,0.786,0.9,0.0,0.0
116,bullseye,0.557,0.557,0.0,1.0
117,bullseye,0.214,0.671,0.0,1.0
118,bullseye,0.671,0.786,0.0,0.0
119,bullseye,0.443,0.329,0.0,0.0
120,bullseye,0.1,0.786,1.0,0.0
121,bullseye,0.214,0.786,0.0,0.0
122,bullseye,0.329,0.443,0.0,0.0
123,bullseye,0.329,0.786,1.0,1.0
124,bullseye,0.557,0.557,1.0,0.0
125,bullseye,0.9,0.214,0.0,0.0
126,bullseye,0.214,0.671,1.0,1.0
127,bullseye,0.443,0.671,1.0,0.0
128,bullseye,0.786,0.443,0.0,0.0
129,bullseye,0.443,0.9,0.0,1.0
130,bullseye,0.786,0.1,0.0,1.0
131,bullseye,0.786,0.443,0.0,1.0
132,bullseye,0.671,0.671,1.0,0.0
133,bullseye,0.214,0.214,0.0,1.0
134,bullseye,0.329,0.214,0.0,0.0
135,bullseye,0.214,0.557,1.0,1.0
136,bullseye,0.214,0.557,1.0,0.0
137,bullseye,0.214,0.1,1.0,0.0
138,bullseye,0.9,0.214,0.0,1.0
139,bullseye,0.329,0.329,0.0,1.0
140,bullseye,0.329,0.9,1.0,1.0
141,bullseye,0.443,0.443,0.0,1.0
142,bullseye,0.329,0.1,0.0,1.0
143,bullseye,0.786,0.786,1.0,1.0
144,bullseye,0.557,0.329,1.0,0.0
145,bullseye,0.329,0.9,0.0,0.0
146,bullseye,0.671,0.329,0.0,1.0
147,bullseye,0.9,0.443,1.0,1.0
148,bullseye,0.329,0.9,0.0,1.0
149,bullseye,0.9,0.9,1.0,1.0
150,bullseye,0.9,0.1,1.0,1.0
151,bullseye,0.214,0.443,1.0,1.0
152,bullseye,0.214,0.557,0.0,1.0
153,bullseye,0.557,0.214,1.0,0.0
154,bullseye,0.443,0.557,0.0,1.0
155,bullseye,0.214,0.443,0.0,0.0
156,bullseye,0.9,0.329,0.0,0.0
157,bullseye,0.329,0.557,0.0,1.0
158,bullseye,0.671,0.329,1.0,1.0
159,bullseye,0.443,0.443,1.0,1.0
160,bullseye,0.9,0.329,1.0,1.0
161,bullseye,0.1,0.1,0.0,1.0
162,bullseye,0.214,0.786,1.0,1.0
163,bullseye,0.557,0.1,0.0,0.0
164,bullseye,0.443,0.671,1.0,1.0
165,bullseye,0.9,0.214,1.0,1.0
166,bullseye,0.214,0.671,1.0,0.0
167,bullseye,0.671,0.557,0.0,1.0
168,bullseye,0.786,0.214,1.0,1.0
169,bullseye,0.329,0.557,0.0,0.0
170,bullseye,0.9,0.671,0.0,1.0
171,bullseye,0.9,0.443,0.0,1.0
172,bullseye,0.671,0.557,0.0,0.0
173,bullseye,0.557,0.9,1.0,0.0
174,bullseye,0.214,0.1,1.0,1.0
175,bullseye,0.329,0.1,0.0,0.0
176,bullseye,0.557,0.214,0.0,0.0
177,bullseye,0.1,0.1,1.0,0.0
178,bullseye,0.1,0.1,0.0,0.0
179,bullseye,0.443,0.9,1.0,1.0
180,bullseye,0.443,0.9,1.0,0.0
181,bullseye,0.1,0.214,0.0,1.0
182,bullseye,0.214,0.786,0.0,1.0
183,bullseye,0.671,0.1,0.0,1.0
184,bullseye,0.214,0.9,1.0,0.0
185,bullseye,0.671,0.214,0.0,1.0
186,bullseye,0.1,0.671,0.0,0.0
187,bullseye,0.9,0.1,0.0,1.0
188,bullseye,0.214,0.9,0.0,1.0
189,bullseye,0.9,0.1,1.0,0.0
190,bullseye,0.329,0.329,1.0,1.0
191,bullseye,0.1,0.443,1.0,0.0
