trial,stim,intensity_target_left,intensity_target_right,intensity_context_left,intensity_context_right
192,bullseye,0.9,0.786,1.0,0.0
193,bullseye,0.557,0.786,1.0,1.0
194,bullseye,0.329,0.671,0.0,0.0
195,bullseye,0.443,0.786,1.0,1.0
196,bullseye,0.329,0.671,0.0,1.0
197,bullseye,0.786,0.9,1.0,0.0
198,bullseye,0.443,0.214,1.0,0.0
199,bullseye,0.671,0.9,1.0,1.0
200,bullseye,0.557,0.329,0.0,0.0
201,bullseye,0.786,0.671,0.0,1.0
202,bullseye,0.557,0.443,0.0,0.0
203,bullseye,0.557,0.1,0.0,1.0
204,bullseye,0.1,0.786,1.0,1.0
205,bullseye,0.9,0.671,1.0,0.0
206,bullseye,0.671,0.214,0.0,0.0
207,bullseye,0.1,0.329,1.0,1.0
208,bullseye,0.9,0.786,0.0,0.0
209,bullseye,0.9,0.443,0.0,0.0
210,bullseye,0.671,0.671,1.0,1.0
211,bullseye,0.557,0.443,1.0,1.0
212,bullseye,0.1,0.671,0.0,1.0
213,bullseye,0.786,0.786,0.0,0.0
214,bullseye,0.9,0.214,1.0,0.0
215,bullseye,0.329,0.443,0.0,1.0
216,bullseye,0.786,0.329,1.0,1.0
217,bullseye,0.329,0.671,1.0,1.0
218,bullseye,0.671,0.329,0.0,0.0
219,bullseye,0.786,0.786,0.0,1.0
220,bullseye,0.1,0.671,1.0,0.0
221,bullseye,0.9,0.1,0.0,0.0
222,bullseye,0.9,0.557,1.0,1.0
223,bullseye,0.1,0.786,0.0,0.0
224,bullseye,0.671,0.1,1.0,0.0
225,bullseye,0.9,0.329,0.0,1.0
226,bullseye,0.1,0.443,0.0,0.0
227,bullseye,0.329,0.329,0.0,0.0
228,bullseye,0.214,0.9,1.0,1.0
229,bullseye,0.786,0.329,1.0,0.0
230,bullseye,0.671,0.214,1.0,0.0
231,bullseye,0.9,0.671,1.0,1.0
232,bullseye,0.329,0.557,1.0,1.0
233,bullseye,0.443,0.329,0.0,1.0
234,bullseye,0.671,0.9,0.0,1.0
235,bullseye,0.329,0.1,1.0,1.0
236,bullseye,0.786,0.214,0.0,0.0
237,bullseye,0.443,0.9,0.0,0.0
238,bullseye,0.786,0.557,0.0,1.0
239,bullseye,0.329,0.557,1.0,0.0
240,bullseye,0.671,0.443,0.0,1.0
241,bullseye,0.557,0.9,0.0,0.0
242,bullseye,0.557,0.557,0.0,0.0
243,bullseye,0.786,0.557,1.0,1.0
244,bullseye,0.329,0.786,0.0,1.0
245,bullseye,0.671,0.9,1.0,0.0
246,bullseye,0.671,0.786,0.0,1.0
247,bullseye,0.786,0.214,0.0,1.0
248,bullseye,0.9,0.443,1.0,0.0
249,bullseye,0.671,0.671,0.0,0.0
250,bullseye,0.557,0.214,1.0,1.0
251,bullseye,0.786,0.329,0.0,1.0
252,bullseye,0.557,0.671,0.0,0.0
253,bullseye,0.9,0.786,1.0,1.0
254,bullseye,0.786,0.671,0.0,0.0
255,bullseye,0.786,0.9,0.0,1.0
